,date,gamma0,gamma1,gamma2,gamma3,stde
0,2014-12-31,-0.16265815708083417,0.27042596380658745,-0.18749452598513014,1.3777760600276654,0.1292131013681016
1,2015-01-31,-0.23413606108609528,0.49245283662055506,-0.2337276330384805,0.5859877475128479,0.14503598496014142
2,2015-02-28,0.06050221346759774,0.26941418298609804,-0.11622557370630716,-0.04288672290819247,0.12962420352716306
3,2015-03-31,0.17525455128009937,0.05544664961648888,-0.020759311288203682,-0.31306287330906385,0.1720723865426731
4,2015-04-30,0.09408708915804959,-0.013883360854407866,-0.0560460849544515,1.3353325366530038,0.1970535669499999
5,2015-05-31,-0.023501552456391767,0.0784785327533051,0.013334271209133209,-1.260929986972319,0.17667403974627746
6,2015-06-30,0.10569493292684165,-0.5445927559405734,0.20837328949115713,0.19664043983626106,0.1301714725051841
7,2015-07-31,-0.08536008917478936,0.06503099432937384,-0.03342079245035227,-0.40826489741895233,0.15185979077861564
8,2015-08-31,-0.185342506692094,0.18720638846043983,-0.10710527599022619,0.5673817886104283,0.13385215565545183
9,2015-09-30,-0.11514382265261816,0.3922137061502244,-0.17653803159131987,1.0158921470576738,0.1474924065272325
10,2015-10-31,-0.07327257593841544,0.06502076520880677,-0.006807176513663004,0.6317715400957022,0.14763972690396815
11,2015-11-30,0.16368365933981055,-0.07706651426459783,0.02629390884641951,-0.32433410737472734,0.1248037652498387
12,2015-12-31,-0.12335415845814868,-0.21588308606753914,0.08596871220474717,-0.3148448671471792,0.09854265903272628
13,2016-01-31,-0.10724037926890988,0.14405521203660712,-0.03708543710671674,-0.07447082365796513,0.10186602451158319
14,2016-02-29,0.1004451519600562,0.05997689073150137,-0.021805764572591986,0.26504344537564456,0.11010454488093989
15,2016-03-31,-0.010128015299553919,0.01866835424692822,0.0035238954200043113,-0.13310538277022568,0.08962765110668039
16,2016-04-30,0.10223041885461523,-0.16029973711454598,0.03726304736286342,-0.02063519485715211,0.09217863419548585
17,2016-05-31,-0.011572736754467135,0.0661523974994884,-0.032091455777061684,0.12431737643057962,0.09318412881693776
18,2016-06-30,0.14298590609280384,-0.1470342081273664,0.0638607481996408,-0.31122683595709205,0.09534921913883264
19,2016-07-31,-0.020235678389106684,0.0957826835386693,-0.022239408820840537,-0.048936286117915735,0.08275859490632088
20,2016-08-31,-0.012444360420147594,0.016402245149213637,-0.004817502432362497,0.018998499496618918,0.08748698378094431
21,2016-09-30,0.02556545017039773,-0.008108237455644653,0.012716885585489364,-0.002794649031773495,0.06657308424273764
22,2016-10-31,0.0845905825452264,-0.08172741385456628,0.05049965103181426,-0.23503076415002905,0.07354523159054356
23,2016-11-30,-0.029064486163397147,0.009511438890393877,-0.00657393053337472,-0.01903535274079446,0.0850187448474564
